study_name,study_folder,objective_metric,git_hash,git_hash_short,git_commit_time,git_message,trial_number,state,datetime_start,datetime_complete,duration_min,optuna_score,optuna_searched,cfg_n_heads,cfg_n_layers,cfg_head_dim,cfg_hidden_size,cfg_max_ep_len,cfg_activation_function,cfg_action_tanh,cfg_attn_pdrop,cfg_embd_pdrop,cfg_resid_pdrop,cfg_use_structured_dropout,cfg_structured_dropout_bottleneck,cfg_structured_dropout_rate,cfg_lr,cfg_momentum,cfg_batch_size,cfg_n_epochs,cfg_early_stopping_patience,cfg_lr_scheduler_patience,cfg_loss,cfg_action_dim,cfg_dataset,cfg_fp_dim,cfg_n_in_state,cfg_valid_set,cfg_random_state,cfg_bb_reward,cfg_bb_scale,cfg_dead_end_reward,cfg_dead_end_scale,cfg_intermediate_reward,cfg_intermediate_scale,cfg_beam_width,cfg_eval_n_batches,cfg_eval_routes_frequency,jsonl_last_epoch,total_jsonl_epochs,fraction_targets_solved,optuna_dropout,optuna_head_dim,optuna_lr,optuna_n_heads,optuna_n_layers,epoch_count,final_train_loss,final_train_action_accuracy,final_valid_loss,final_valid_action_accuracy,final_valid_route_accuracy,best_valid_action_accuracy,best_valid_route_accuracy,seconds_per_epoch,optuna_structured_dropout_bottleneck,optuna_structured_dropout_rate,optuna_attn_pdrop,optuna_embd_pdrop,optuna_resid_pdrop,max_complete_epoch_in_study,epoch_ran_fraction,is_incomplete,is_early_stopped,is_jsonl_unreliable,incomplete_reason,estimated_valid_action_accuracy,estimated_valid_route_accuracy,estimation_n_ref
compare2_small_standard_dropout,hypertune-compare2_small_standard_dropout,valid_route_accuracy,a7319b783badc12d129e3aeb7e5165f0e4e2a31f,a7319b78,2026-06-15T05:43:54+00:00,"plot-learning-curves: larger fonts, doubled line width, 50% alpha",4,COMPLETE,2026-06-15 07:20:49.993933,2026-06-15 07:35:45.285172,14.9,0.33213117503983897,dropout|head_dim|lr|n_heads|n_layers,2.0,4.0,64.0,128.0,20.0,relu,False,0.22641379928351885,0.22641379928351885,0.22641379928351885,False,,,0.004077953536990108,0.98,512.0,200.0,20.0,,crossEntropyLoss,589.0,small,1024.0,2.0,n1+n5,1.0,0.0,2.0,-2.0,2.0,-2.0,1.0,1.0,2.0,100.0,101,102.0,0.375,0.22641379928351885,64.0,0.004077953536990108,2.0,4.0,102.0,0.018109314090741627,0.32226466548360255,0.07579636748968846,0.3269311414912354,0.09418127564341663,0.33213117503983897,0.09753823200298396,7.781550407409668,,,,,,200.0,0.51,False,True,False,early_stopped,,,
compare_small_standard_dropout_baseline,hypertune-compare_small_standard_dropout_baseline,valid_route_accuracy,99d9854f1a3c2a8e6ea2b15482bd3e79ccaedb2d,99d9854f,2026-06-14T23:05:13+00:00,add structured_dropout_bottleneck to optuna search space and runner override,9,COMPLETE,2026-06-15 01:42:12.933093,2026-06-15 02:02:42.803205,20.5,0.33120858844250606,dropout|head_dim|lr|n_heads|n_layers,2.0,4.0,64.0,128.0,20.0,relu,False,0.23405934669595224,0.23405934669595224,0.23405934669595224,False,,,0.0015024983567834046,0.98,512.0,200.0,6.0,,crossEntropyLoss,589.0,small,1024.0,2.0,n1+n5,1.0,0.0,2.0,-2.0,2.0,-2.0,1.0,1.0,2.0,100.0,144,145.0,0.3828125,0.23405934669595224,64.0,0.0015024983567834046,2.0,4.0,145.0,0.029656045350500128,0.32579380595742974,0.07993411352591855,0.33120858844250606,0.0938082804923536,0.33120858844250606,0.09735173442745244,7.805107116699219,,,,,,200.0,0.725,False,True,False,early_stopped,,,
nodropout-baseline,hypertune-nodropout-baseline,valid_route_accuracy,33df126f18ce48c5ef27a0a1ef320b3a079875d4,33df126f,2026-06-15T12:45:20+00:00,5trials,3,FAIL,2026-06-15 16:56:58.224201,2026-06-15 17:18:06.010248,21.1,,head_dim|lr|n_heads|n_layers,3.0,2.0,64.0,192.0,20.0,relu,False,0.0,0.0,0.0,False,,,0.0006543722542573492,0.98,512.0,200.0,50.0,20.0,crossEntropyLoss,589.0,small,1024.0,2.0,n1+n5,1.0,0.0,2.0,-2.0,2.0,-2.0,1.0,1.0,2.0,100.0,81,82.0,,,64.0,0.0006543722542573492,3.0,2.0,82.0,0.07863899345763704,0.3416147822861211,0.11467059843596958,0.33095697391596074,0.10350615441999254,0.33095697391596074,0.10350615441999254,6.674705982208252,,,,,,200.0,0.41,True,False,False,killed,0.344177,0.103506,1.0
baseline_small_hyperparameter_tuning,hypertune-baseline_small_hyperparameter_tuning,valid_route_accuracy,96661e62769fd797bedcb96b1977fbd20daf933c,96661e62,2026-06-15T17:41:54+00:00,"plot-learning-curves: include RUNNING trials, not just COMPLETE",9,COMPLETE,2026-06-15 23:41:28.367492,2026-06-15 23:53:14.177293,11.8,0.09772472957851548,head_dim|lr|n_heads|n_layers,1.0,4.0,128.0,128.0,20.0,relu,False,0.0,0.0,0.0,False,,,0.01038565250393806,0.98,512.0,80.0,30.0,10.0,crossEntropyLoss,589.0,small,1024.0,2.0,n1+n5,1.0,0.0,2.0,-2.0,2.0,-2.0,1.0,1.0,2.0,100.0,79,80.0,0.3515625,,128.0,0.01038565250393806,1.0,4.0,80.0,0.008526498539140448,0.30031782316198957,0.05478843900242022,0.28122116916883333,0.07180156657963446,0.33078923089826384,0.09772472957851548,7.751131296157837,,,,,,80.0,1.0,False,False,False,complete,,,
small_baseline,hypertune-small_baseline,valid_route_accuracy,4b2f119ca23f517ef35cf582b8de71a0b38ed4f5,4b2f119c,2026-06-14T21:36:49+00:00,add --eval-n-batches to hypertune; fix missing logger in runner; reduce small.yaml eval defaults,5,FAIL,2026-06-14 22:53:12.447986,2026-06-14 23:06:08.282073,12.9,,dropout|head_dim|lr|n_heads|n_layers,3.0,3.0,256.0,768.0,20.0,relu,False,0.10179404985728036,0.10179404985728036,0.10179404985728036,False,,,0.013548526933981628,0.98,512.0,200.0,6.0,,crossEntropyLoss,589.0,small,1024.0,2.0,n1+n5,1.0,0.0,2.0,-2.0,2.0,-2.0,1.0,1.0,2.0,100.0,29,30.0,,0.10179404985728036,256.0,0.013548526933981628,3.0,3.0,30.0,0.010771441908383911,0.3311476724717017,0.03654792154252175,0.3016019458190053,0.08541588959343528,0.33078923089826384,0.10686311077955987,23.54423952102661,,,,,,153.0,0.15,True,False,False,killed,0.338646,0.109452,4.0
small_baseline,hypertune-small_baseline,valid_route_accuracy,4b2f119ca23f517ef35cf582b8de71a0b38ed4f5,4b2f119c,2026-06-14T21:36:49+00:00,add --eval-n-batches to hypertune; fix missing logger in runner; reduce small.yaml eval defaults,3,COMPLETE,2026-06-14 22:16:43.199540,2026-06-14 22:47:34.439742,30.9,0.0,dropout|head_dim|lr|n_heads|n_layers,1.0,5.0,256.0,256.0,20.0,relu,False,0.3708939812371794,0.3708939812371794,0.3708939812371794,False,,,0.0015614433732336484,0.98,512.0,200.0,6.0,,crossEntropyLoss,589.0,small,1024.0,2.0,n1+n5,1.0,0.0,2.0,-2.0,2.0,-2.0,1.0,1.0,2.0,100.0,152,153.0,0.375,0.3708939812371794,256.0,0.0015614433732336484,1.0,5.0,153.0,0.02775707775303586,0.32620487061489256,0.0723795194644481,0.3229053090665101,0.09250279746363298,0.3295311582655372,0.09772472957851548,11.554210186004639,,,,,,153.0,0.765,False,False,False,complete,,,
standard-v2-dropout-details,hypertune-standard-v2-dropout-details,valid_route_accuracy,bfb89647cc3020992bc38d0f19e6c46ac55b24c5,bfb89647,2026-06-17T03:00:46+00:00,"dashboard: rs-mark-stopped CLI, STOPPED trial state, epoch column, 10min refresh",1,RUNNING,2026-06-17 08:58:30.714017,,,,attn_pdrop|embd_pdrop|head_dim|lr|n_heads|n_layers|resid_pdrop,5.0,10.0,128.0,640.0,20.0,relu,False,0.16635604040511032,0.00597872735221654,0.0874275200805938,False,,,0.0009685260076984002,0.98,512.0,100.0,15.0,10.0,crossEntropyLoss,1573.0,standard,1024.0,2.0,n1+n5,2.0,0.0,2.0,-2.0,2.0,-2.0,1.0,1.0,10.0,50.0,48,49.0,,,128.0,0.0009685260076984002,5.0,10.0,49.0,0.02665638011195838,0.34470354750682214,0.0601286936349185,0.3173795839479172,0.07443444417416686,0.3209399318447688,0.07783994162004379,73.6406033039093,,,0.16635604040511032,0.00597872735221654,0.0874275200805938,,0.49,False,False,False,no_complete_ref,,,
compare2_small_structured_dropout,hypertune-compare2_small_structured_dropout,valid_route_accuracy,e4fc570153c066e17388ad1260a65720f8720f51,e4fc5701,2026-06-15T06:15:41+00:00,hypertune: always run route eval at end of every trial,2,COMPLETE,2026-06-15 09:52:12.722827,2026-06-15 10:18:49.206603,26.6,0.3179568900444519,dropout|head_dim|lr|n_heads|n_layers|structured_dropout_bottleneck,2.0,3.0,64.0,128.0,20.0,relu,False,0.15774046776202838,0.15774046776202838,0.15774046776202838,True,221.0,,0.00036256648857203936,0.98,512.0,200.0,20.0,,crossEntropyLoss,589.0,small,1024.0,2.0,n1+n5,1.0,0.0,2.0,-2.0,2.0,-2.0,1.0,1.0,2.0,100.0,199,200.0,0.390625,0.15774046776202838,64.0,0.00036256648857203936,2.0,3.0,200.0,0.08931257999078794,0.3149056055182924,0.11128049636525768,0.3156923593055439,0.09772472957851548,0.3179568900444519,0.10033569563595673,7.518790245056152,221.0,,,,,200.0,1.0,False,False,False,complete,,,
compare2_small_structured_dropout,hypertune-compare2_small_structured_dropout,valid_route_accuracy,e4fc570153c066e17388ad1260a65720f8720f51,e4fc5701,2026-06-15T06:15:41+00:00,hypertune: always run route eval at end of every trial,3,COMPLETE,2026-06-15 10:18:49.270902,2026-06-15 10:40:05.603158,21.3,0.31753753250020966,dropout|head_dim|lr|n_heads|n_layers|structured_dropout_bottleneck,3.0,2.0,256.0,768.0,20.0,relu,False,0.09260935856332178,0.09260935856332178,0.09260935856332178,True,121.0,,0.012682608815371959,0.98,512.0,200.0,20.0,,crossEntropyLoss,589.0,small,1024.0,2.0,n1+n5,1.0,0.0,2.0,-2.0,2.0,-2.0,1.0,1.0,2.0,100.0,66,67.0,0.3828125,0.09260935856332178,256.0,0.012682608815371959,3.0,2.0,67.0,0.008646105630429123,0.33464673504376335,0.03556304140615144,0.29338253795185776,0.08336441626258859,0.31753753250020966,0.09809772472957852,18.072923183441162,121.0,,,,,200.0,0.335,False,True,False,early_stopped,,,
sunday-optuna-12trials-200epochs-4patience,hypertune-sunday-optuna-12trials-200epochs-4patience,valid_route_accuracy,fe3fcab5ae08f87611a00b1b6276db9ffda28603,fe3fcab5,2026-06-13T21:46:10+00:00,"structured run.jsonl logging, sqlite storage, jsonl append fix",1,RUNNING,2026-06-14 18:34:24.235142,,,,dropout|head_dim|lr|n_heads|n_layers,3.0,3.0,256.0,768.0,20.0,relu,False,0.2875498354700152,0.2875498354700152,0.2875498354700152,False,,,0.0001336892786338992,0.98,512.0,200.0,4.0,,crossEntropyLoss,589.0,small,1024.0,2.0,n1+n5,1.0,0.0,2.0,-2.0,2.0,-2.0,1.0,1.0,2.0,100.0,199,200.0,0.3984375,0.2875498354700152,256.0,0.0001336892786338992,3.0,3.0,200.0,0.09536115952174772,0.32047001734492336,0.10501497371920518,0.3161955883586346,0.09492726594554271,0.3167826889205737,0.09735173442745244,23.40042805671692,,,,,,,1.0,False,False,False,no_complete_ref,,,
compare2_small_structured_dropout,hypertune-compare2_small_structured_dropout,valid_route_accuracy,e4fc570153c066e17388ad1260a65720f8720f51,e4fc5701,2026-06-15T06:15:41+00:00,hypertune: always run route eval at end of every trial,1,COMPLETE,2026-06-15 09:05:38.549937,2026-06-15 09:52:12.644439,46.6,0.31669881741172523,dropout|head_dim|lr|n_heads|n_layers|structured_dropout_bottleneck,3.0,4.0,128.0,384.0,20.0,relu,False,0.12106736590826755,0.12106736590826755,0.12106736590826755,True,134.0,,0.00015728683085116627,0.98,512.0,200.0,20.0,,crossEntropyLoss,589.0,small,1024.0,2.0,n1+n5,1.0,0.0,2.0,-2.0,2.0,-2.0,1.0,1.0,2.0,100.0,199,200.0,0.3515625,0.12106736590826755,128.0,0.00015728683085116627,3.0,4.0,200.0,0.11175181445750323,0.32228471741811293,0.12664854952267238,0.31669881741172523,0.09362178291682208,0.31669881741172523,0.09362178291682208,13.810758829116821,134.0,,,,,200.0,1.0,False,False,False,complete,,,
compare_small_standard_dropout_baseline,hypertune-compare_small_standard_dropout_baseline,valid_route_accuracy,99d9854f1a3c2a8e6ea2b15482bd3e79ccaedb2d,99d9854f,2026-06-14T23:05:13+00:00,add structured_dropout_bottleneck to optuna search space and runner override,3,COMPLETE,2026-06-14 23:52:49.712789,2026-06-15 00:04:32.907233,11.7,0.3143504151639688,dropout|head_dim|lr|n_heads|n_layers,3.0,5.0,64.0,192.0,20.0,relu,False,0.3085797547805459,0.3085797547805459,0.3085797547805459,False,,,0.011670193047864428,0.98,512.0,200.0,6.0,,crossEntropyLoss,589.0,small,1024.0,2.0,n1+n5,1.0,0.0,2.0,-2.0,2.0,-2.0,1.0,1.0,2.0,100.0,64,65.0,0.34375,0.3085797547805459,64.0,0.011670193047864428,3.0,5.0,65.0,0.014074145779225299,0.2889884801636238,0.06103281314218683,0.28658894573513377,0.06863110779559865,0.3143504151639688,0.08989183140619172,9.58170223236084,,,,,,200.0,0.325,False,True,False,early_stopped,,,
compare_small_standard_dropout_baseline,hypertune-compare_small_standard_dropout_baseline,valid_route_accuracy,99d9854f1a3c2a8e6ea2b15482bd3e79ccaedb2d,99d9854f,2026-06-14T23:05:13+00:00,add structured_dropout_bottleneck to optuna search space and runner override,11,COMPLETE,2026-06-15 02:06:37.819223,2026-06-15 02:43:34.873413,37.0,0.31007296821269814,dropout|head_dim|lr|n_heads|n_layers,2.0,4.0,128.0,256.0,20.0,relu,False,0.18867916484072939,0.18867916484072939,0.18867916484072939,False,,,0.00010502977413011477,0.98,512.0,200.0,6.0,,crossEntropyLoss,589.0,small,1024.0,2.0,n1+n5,1.0,0.0,2.0,-2.0,2.0,-2.0,1.0,1.0,2.0,100.0,199,200.0,0.2890625,0.18867916484072939,128.0,0.00010502977413011477,2.0,4.0,200.0,0.1836266236549074,0.30743625991317514,0.18178983449581124,0.31007296821269814,0.09474076837001119,0.31007296821269814,0.09474076837001119,10.797194480895996,,,,,,200.0,1.0,False,False,False,complete,,,
nodropout-baseline,hypertune-nodropout-baseline,valid_route_accuracy,33df126f18ce48c5ef27a0a1ef320b3a079875d4,33df126f,2026-06-15T12:45:20+00:00,5trials,2,COMPLETE,2026-06-15 14:23:36.175751,2026-06-15 16:56:58.064037,153.4,0.08989183140619172,head_dim|lr|n_heads|n_layers,3.0,4.0,256.0,768.0,20.0,relu,False,0.0,0.0,0.0,False,,,0.00030907045090286127,0.98,512.0,200.0,20.0,,crossEntropyLoss,589.0,small,1024.0,2.0,n1+n5,1.0,0.0,2.0,-2.0,2.0,-2.0,1.0,1.0,2.0,100.0,199,200.0,0.34375,,256.0,0.00030907045090286127,3.0,4.0,200.0,0.013756167492829263,0.3424770154700675,0.03978334492560299,0.31007296821269814,0.08541588959343528,0.31007296821269814,0.08989183140619172,49.02688527107239,,,,,,200.0,1.0,False,False,False,complete,,,
standard-v2-lr0005,hypertune-standard-v2-lr0005,valid_route_accuracy,90c44c5b92126005642b0b9c5d979bde4cbf2eff,90c44c5b,2026-06-16T05:03:10+00:00,add 3 layers to list of n_layers possiblities because its hardcoded deep in the baseline code,4,COMPLETE,2026-06-16 18:56:02.548416,2026-06-16 19:46:46.998754,50.7,0.06506932619800535,dropout|head_dim|lr|n_heads|n_layers,2.0,8.0,128.0,256.0,20.0,relu,False,0.046511271599936885,0.046511271599936885,0.046511271599936885,False,,,0.0009793400530594232,0.98,512.0,100.0,15.0,10.0,crossEntropyLoss,1573.0,standard,1024.0,2.0,n1+n5,1.0,0.0,2.0,-2.0,2.0,-2.0,1.0,1.0,10.0,50.0,99,100.0,0.3328125,0.046511271599936885,128.0,0.0009793400530594232,2.0,8.0,100.0,0.04069936164005688,0.30343984915771455,0.09155169932186141,0.30163568017880726,0.06385307711019217,0.30346439093772226,0.06506932619800535,24.834472179412842,,,,,,100.0,1.0,False,False,False,complete,,,
